user_id,movie_num,music_num,book_num,sign_up_date
26222,173,60,8, 2008-11-19
11198,1124,44,413, 2008-12-18
4090,2839,284,201, 2007-12-05
12511,1723,57,873, 2009-08-10
23553,684,116,513, 2007-04-18
11660,400,153,53, 2008-02-15
28124,353,88,54, 2006-05-22
1279,550,16,6, 2008-08-27
27363,360,30,30, 2009-04-27
2317,1424,31,127, 2009-08-28
2278,979,219,8, 2007-10-12
8653,422,52,140, 2011-07-18
490,85,4,43, 2010-12-31
10814,67,62,1, 2011-02-22
5643,1004,225,4, 2012-11-19
1952,1467,195,127, 2012-04-06
27138,836,106,3, 2009-12-13
9044,90,12,-1, 2016-09-08
1119,759,185,154, 2010-12-10
3262,290,38,278, 2008-06-09
611,8,9,2, 2012-05-28
5255,552,86,32, 2006-06-18
11363,343,68,-1, 2008-11-16
13032,61,14,16, 2013-02-08
5866,1641,73,-1, 2012-05-09
19201,460,178,10, 2008-02-11
17528,121,35,18, 2009-10-05
5213,2295,117,5877, 2010-02-04
21010,1709,335,125, 2010-08-30
22211,126,26,-1, 2012-09-29
14366,1152,920,102, 2012-06-20
32875,1526,-1,-1, 2017-09-02
7015,395,39,614, 2012-10-30
27381,1429,-1,52, 2007-03-14
1685,525,34,73, 2009-12-15
102,761,551,17, 2010-04-20
13606,602,819,77, 2007-01-06
11589,61,63,3, 2013-08-31
21506,91,110,6, 2012-01-30
657,342,464,155, 2010-08-07
155,-1,5,-1, 2017-08-16
6420,558,478,2, 2008-09-25
12191,176,195,-1, 2009-07-01
895,30,727,3, 2008-09-28
4539,410,571,309, 2005-12-27
9808,6486,1305,1031, 2011-06-26
6960,563,400,1, 2006-06-30
3006,468,787,20, 2013-03-07
9793,278,596,525, 2011-08-25
22607,388,41,7, 2009-01-03
1248,414,100,123, 2009-02-08
27341,1689,951,152, 2007-01-30
22958,2295,2130,562, 2007-07-31
3320,574,561,135, 2006-10-23
2853,640,43,78, 2008-03-23
7815,1270,185,195, 2009-08-04
9725,275,9,2, 2012-12-04
5648,33,10,-1, 2016-04-11
14377,149,45,3, 2007-12-18
14584,2128,908,375, 2007-09-22
4407,49,26,3,
3966,484,306,67, 2008-05-28
2411,1431,452,390, 2007-09-21
2503,220,41,18, 2011-05-15
18750,1701,247,99, 2009-04-04
15643,94,11,12, 2007-12-07
20823,1052,182,75, 2014-02-12
14166,722,507,205, 2008-03-23
7943,2334,2737,1820, 2006-06-06
8597,1999,6148,924, 2005-12-19
5519,1125,157,1, 2008-01-20
20101,2745,1899,4, 2008-05-08
23390,2692,747,1608, 2007-05-22
1381,3277,2421,228, 2011-07-27
27063,436,75,40, 2007-05-05
10869,2974,1361,472, 2009-05-18
18415,62,21,-1, 2019-09-05
27647,40,1,7, 2015-06-06
32666,34,1,1, 2009-07-28
21643,330,39,238, 2010-05-04
19762,192,16,1, 2013-09-21
23844,660,300,23, 2010-01-05
28299,35,1,2, 2016-01-19
28495,122,1,3, 2016-05-05
5966,46,4,1, 2014-10-31
11927,31,6,-1, 2016-04-27
8391,1567,255,147, 2007-02-12
16172,961,21,18, 2010-08-29
15785,267,13,4, 2010-06-06
14163,363,307,95, 2009-07-25
14748,235,175,670, 2007-04-15
614,224,195,12, 2009-08-12
28675,969,275,565, 2006-05-24
27510,868,1175,349, 2009-04-17
6562,82,607,6, 2005-10-08
27066,388,258,240, 2006-10-14
13621,743,234,262, 2006-04-29
28018,87,18,816, 2008-03-11
16669,1211,374,1138, 2008-01-01
30964,866,35,600, 2012-05-11
27604,69,24,11, 2012-05-06
3146,408,120,2664, 2011-03-13
27944,573,87,365, 2011-07-09
14060,2287,1001,1832, 2006-02-07
27123,1482,17,6, 2013-06-26
27273,1022,154,308, 2012-12-22
7591,375,96,697, 2018-06-26
11031,972,1007,4695, 2006-02-23
17210,696,618,9247, 2010-08-19
22845,2103,568,2234, 2008-07-18
4471,1887,865,3044, 2008-08-20
6599,2056,363,2496, 2007-06-10
27092,1381,391,25, 2009-12-13
15891,1888,913,416, 2007-11-18
16780,352,40,3, 2006-10-13
16538,487,221,3307, 2014-05-10
13096,1706,1571,388, 2008-12-31
25930,82,462,12, 2010-01-02
11001,323,770,10, 2007-01-02
444,400,636,10, 2006-11-17
21659,7,687,2, 2008-08-07
5082,2061,976,221, 2009-04-27
23190,445,257,3, 2009-05-29
3876,5,4,-1, 2015-03-11
947,18,39,1, 2007-08-22
14526,942,277,744, 2008-08-22
11192,3562,357,393, 2007-12-19
19651,776,383,75, 2018-06-17
19012,96,185,-1, 2009-07-16
931,247,174,28, 2018-04-01
14378,655,454,95, 2011-07-07
23598,158,410,35, 2008-01-25
14343,50,13,456, 2009-07-16
28468,293,211,11, 2009-11-15
16050,91,7,5, 2016-08-22
8170,943,448,17, 2017-10-29
4378,38,9,1, 2019-07-13
429,-1,2,-1, 2018-05-05
12076,47,5,450, 2014-10-31
22053,44,50,12, 2020-06-27
7628,167,133,18, 2006-03-26
26069,640,792,21, 2011-06-17
27279,273,181,13, 2009-08-09
19736,190,1902,13, 2007-12-11
27098,1336,244,395, 2009-10-30
4604,24,6,-1, 2009-12-14
21313,43,34,2, 2012-12-22
15768,849,681,19, 2010-06-09
10625,362,238,422, 2006-01-27
27035,207,130,126, 2010-02-13
14327,1064,627,441, 2013-08-22
13064,68,258,18, 2009-10-01
27586,536,269,38, 2014-08-04
17451,459,142,-1, 2018-09-21
2882,1100,2484,321, 2010-11-24
7639,920,308,425, 2010-10-30
470,341,91,33, 2007-12-18
7853,951,427,73, 2009-01-10
5603,813,833,579, 2005-04-16
5966,46,4,1, 2014-10-31
3065,591,594,-1, 2014-10-21
32653,73,1,1, 2015-12-24
15184,312,209,69, 2014-02-01
17239,2013,204,14, 2013-08-18
10137,18,63,1, 2012-02-17
9586,19,235,1, 2011-08-11
3058,6,23,-1, 2010-08-10
19207,228,413,3569, 2008-11-18
22816,419,232,2939, 2006-02-18
