item_id,regions,genres,languages,directors,year,mins,movie_douban_score,movie_douban_votes,type
253526,0,0,0,0,0,120,0,0,2
253527,1,1,1,1,1,98,0,0,2
253528,2,2,1,1,2,91,0,0,2
253529,3,3,2,1,1,0,0,0,2
253530,4,4,3,2,3,6,0,0,2
253531,5,5,1,3,0,69,1,1,2
253532,5,6,1,1,0,120,0,0,2
253533,6,7,4,4,4,6,0,0,2
253534,5,8,1,1,0,3,0,0,2
253535,6,3,5,5,0,0,0,0,2
253536,7,9,3,6,0,39,0,0,2
253537,8,0,0,7,0,12,0,0,2
253538,3,3,2,1,5,0,0,0,2
253539,9,9,4,8,0,0,0,0,2
253540,9,9,4,9,0,0,0,0,2
253541,3,10,2,10,0,0,2,1,2
253542,1,4,1,1,6,0,0,0,2
253543,9,4,6,11,0,16,0,0,2
253544,9,11,4,12,0,65,0,0,2
253545,6,4,4,13,4,25,0,0,2
253546,9,12,4,14,0,0,3,2,2
253547,9,9,4,15,7,0,0,0,2
253548,1,9,1,16,0,75,0,0,2
253549,10,13,7,1,0,90,0,0,2
253550,11,4,5,17,0,5,1,1,2
253551,9,9,4,18,2,87,0,0,2
253552,6,3,5,19,4,0,0,0,2
253553,9,9,4,1,0,0,0,0,2
253554,12,14,8,1,4,10,0,0,2
253555,9,15,4,1,0,38,0,0,2
253556,3,16,2,1,8,0,0,0,2
253557,13,17,4,20,0,0,4,1,2
253558,14,18,9,1,0,21,0,0,2
253559,5,0,0,1,9,0,0,0,2
253560,3,9,2,1,0,0,0,0,2
253561,5,9,4,1,0,0,0,0,2
253562,7,18,10,1,10,43,5,3,2
253563,15,0,11,1,4,74,0,0,2
253564,9,19,4,1,0,98,0,0,2
253565,9,9,4,21,0,32,0,0,2
253566,3,0,2,1,0,0,0,0,2
253567,9,20,4,1,0,0,0,0,2
253568,3,9,2,1,0,0,0,0,2
253569,9,9,4,22,0,83,0,0,2
253570,16,21,12,23,4,43,0,0,2
253571,17,0,1,1,0,0,0,0,2
253572,3,0,2,1,0,0,0,0,2
253573,9,9,4,1,0,0,6,4,2
253574,18,3,0,1,0,0,3,3,2
253575,3,22,2,24,0,66,7,3,2
253576,9,20,4,25,0,0,6,5,2
253577,9,23,4,26,0,0,0,0,2
253578,5,1,1,1,0,0,7,3,2
253579,9,9,4,27,0,0,0,0,2
253580,19,3,0,1,4,8,0,0,2
253581,9,18,0,1,0,16,0,0,2
253582,9,18,4,28,0,0,0,0,2
253583,9,20,4,29,0,0,1,5,2
253584,9,9,4,30,0,0,6,4,2
253585,5,0,1,1,0,87,0,0,2
253586,9,9,0,1,0,101,0,0,2
