item_id,performer_ids,style,medium,music_douban_score,music_douban_votes,publish_time,type
150955,0,0,0,0,0,0,1
150956,1,0,1,1,1,1,1
150957,2,1,2,2,2,2,1
150958,3,2,3,2,2,3,1
150959,4,2,2,2,2,3,1
150960,5,3,3,2,2,3,1
150961,6,4,3,2,2,3,1
150962,7,5,2,2,2,4,1
150963,8,1,1,2,2,3,1
150964,9,6,3,2,2,3,1
150965,10,0,1,2,2,5,1
150966,11,6,3,2,2,6,1
150967,12,5,1,2,2,3,1
150968,13,2,3,2,2,3,1
150969,14,7,4,2,2,7,1
150970,15,3,3,2,2,3,1
150971,16,2,2,2,2,3,1
150972,17,2,0,2,2,3,1
150973,18,3,3,2,2,3,1
150974,19,3,1,2,2,8,1
150975,20,0,2,2,2,3,1
150976,21,6,3,2,2,6,1
150977,22,1,1,2,2,3,1
150978,23,2,1,2,2,3,1
150979,24,0,1,2,2,4,1
150980,25,6,1,2,2,3,1
150981,26,0,3,2,2,3,1
150982,27,2,3,2,2,3,1
150983,28,5,1,2,2,9,1
150984,29,3,3,2,2,3,1
150985,30,6,3,2,2,3,1
150986,31,2,0,2,2,3,1
150987,32,2,3,2,2,3,1
150988,33,3,2,3,3,3,1
150989,34,2,2,2,2,10,1
150990,35,5,2,2,2,11,1
150991,36,0,0,2,2,3,1
150992,37,3,1,2,2,12,1
150993,38,3,1,2,2,8,1
150994,39,3,1,2,2,12,1
150995,40,8,1,2,2,3,1
150996,41,1,3,2,2,3,1
150997,42,1,2,2,2,3,1
150998,43,3,3,2,2,3,1
150999,44,3,3,3,4,3,1
151000,45,0,1,2,2,3,1
151001,46,4,2,2,2,3,1
151002,47,2,2,2,2,3,1
151003,48,3,3,4,4,3,1
151004,49,4,2,2,2,3,1
151005,50,9,3,1,3,3,1
151006,51,3,3,3,0,3,1
151007,52,8,3,2,2,3,1
151008,53,3,3,5,3,3,1
151009,54,3,3,4,5,3,1
151010,55,3,3,6,5,3,1
151011,56,0,3,2,2,3,1
151012,57,0,1,4,6,3,1
151013,58,10,3,2,2,3,1
151014,59,8,1,2,2,9,1
151015,60,3,3,2,2,3,1
151016,61,0,3,2,2,3,1
151017,62,3,3,3,4,3,1
151018,63,3,3,7,4,3,1
151019,64,2,3,2,2,3,1
151020,65,3,3,8,3,3,1
151021,66,3,3,2,2,3,1
151022,67,0,0,2,2,3,1
151023,68,3,3,9,7,3,1
151024,69,5,1,2,2,3,1
151025,70,0,3,3,0,3,1
151026,71,3,3,3,3,3,1
151027,72,1,3,0,4,9,1
151028,73,3,3,3,5,3,1
151029,74,3,3,2,2,3,1
151030,75,1,3,2,2,3,1
151031,76,10,1,2,2,3,1
151032,77,3,3,3,4,3,1
151033,78,2,3,2,2,3,1
151034,79,0,3,9,4,3,1
151035,80,4,2,2,2,3,1
151036,81,2,2,2,2,3,1
151037,82,5,1,2,2,5,1
151038,83,2,1,2,2,3,1
151039,84,2,3,2,2,3,1
151040,85,9,3,2,2,3,1
151041,86,3,3,2,2,3,1
151042,87,3,3,2,2,3,1
151043,88,3,3,9,3,3,1
151044,89,3,3,2,2,3,1
151045,90,3,3,3,4,3,1
151046,91,2,3,10,3,3,1
151047,92,3,3,5,5,3,1
151048,93,6,3,2,2,3,1
151049,94,8,3,1,4,3,1
151050,95,3,3,4,4,3,1
151051,96,0,1,2,2,3,1
151052,97,2,3,2,2,3,1
151053,98,4,3,7,0,3,1
151054,99,0,3,2,2,3,1
151055,100,5,1,2,2,13,1
151056,101,3,3,3,0,3,1
151057,102,0,3,1,3,3,1
151058,103,5,1,2,2,14,1
151059,104,0,2,4,6,3,1
151060,105,4,1,2,2,3,1
151061,106,1,3,5,6,3,1
151062,107,3,3,9,5,3,1
151063,108,1,3,6,8,3,1
151064,109,4,3,8,0,3,1
151065,110,1,4,7,6,3,1
151066,111,10,4,2,2,15,1
151067,112,4,3,1,4,3,1
151068,113,2,2,2,2,3,1
151069,114,2,1,2,2,3,1
151070,115,2,4,2,2,3,1
151071,116,8,3,2,2,3,1
151072,117,5,1,2,2,4,1
151073,118,5,1,2,2,16,1
151074,119,2,2,1,4,3,1
151075,120,7,2,2,2,17,1
151076,121,3,3,2,2,3,1
151077,122,2,0,2,2,3,1
151078,123,2,1,2,2,3,1
151079,124,11,3,2,2,3,1
151080,125,3,1,2,2,18,1
151081,126,1,3,2,2,3,1
151082,127,1,3,2,2,6,1
151083,128,4,3,1,4,3,1
151084,129,5,1,2,2,3,1
151085,130,4,3,11,4,3,1
151086,131,3,1,2,2,19,1
151087,132,3,3,1,3,3,1
151088,133,0,3,1,6,3,1
151089,134,1,3,3,3,3,1
151090,135,0,5,2,2,3,1
151091,136,6,1,2,2,3,1
151092,137,2,2,2,2,3,1
151093,138,2,6,2,2,3,1
151094,139,0,3,2,2,3,1
151095,140,4,1,2,2,5,1
151096,141,2,3,2,2,3,1
151097,142,4,1,4,4,3,1
151098,143,0,1,2,2,3,1
151099,144,2,3,2,2,3,1
151100,145,0,4,2,2,3,1
151101,146,3,3,2,2,3,1
151102,147,3,3,9,0,3,1
151103,148,3,3,4,6,3,1
151104,149,3,3,7,3,3,1
151105,150,2,2,2,2,2,1
151106,151,4,1,2,2,3,1
151107,152,2,3,2,2,3,1
151108,153,5,3,2,2,3,1
151109,154,4,3,8,0,3,1
151110,155,5,1,2,2,3,1
151111,156,9,4,2,2,20,1
151112,157,4,2,2,2,3,1
151113,158,4,3,2,2,3,1
151114,159,5,3,2,2,6,1
151115,160,2,1,2,2,3,1
151116,161,3,3,2,2,5,1
151117,162,3,3,6,4,3,1
151118,163,3,3,6,4,3,1
151119,164,3,3,2,2,3,1
151120,165,0,3,2,2,4,1
151121,166,0,2,4,4,3,1
151122,167,4,3,12,3,3,1
151123,168,3,3,7,4,3,1
151124,169,12,3,2,2,3,1
151125,170,0,3,2,2,3,1
151126,171,4,3,2,2,3,1
151127,172,2,3,7,4,3,1
151128,173,2,3,2,2,3,1
151129,174,0,3,1,0,3,1
151130,175,8,3,2,2,3,1
151131,176,4,7,2,2,3,1
151132,177,4,3,2,2,3,1
151133,178,0,3,2,2,3,1
151134,179,4,8,2,2,3,1
151135,180,10,1,2,2,3,1
